"","year","sst"
"1947",1947,4.25778137975269
"1948",1948,4.70155765392162
"1949",1949,3.87510106519417
"1950",1950,4.49382593896654
"1951",1951,4.39506784412596
"1952",1952,4.41698609237318
"1953",1953,4.93253504346918
"1954",1954,4.68176723188824
"1955",1955,5.02045790795927
"1956",1956,4.79569875310968
"1957",1957,5.22066269539021
"1958",1958,5.87736446769149
"1959",1959,5.62422351483946
"1960",1960,5.1489606168535
"1961",1961,5.31852413989879
"1962",1962,4.81874839464823
"1963",1963,5.20508123327185
"1964",1964,5.08624039755927
"1965",1965,4.17580306529999
"1966",1966,4.59671946366628
"1967",1967,4.98792469943011
"1968",1968,5.08930021745187
"1969",1969,4.45744783348507
"1970",1970,5.39086671228762
"1971",1971,3.98483277250219
"1972",1972,3.53482216375845
"1973",1973,4.44737239237185
"1974",1974,4.53356698265782
"1975",1975,4.31652364465925
"1976",1976,4.42485548831798
"1977",1977,5.57652714075866
"1978",1978,4.89705347573316
"1979",1979,5.36481870986797
"1980",1980,4.95717553739195
"1981",1981,5.77532674206628
"1982",1982,4.67761074613642
"1983",1983,5.79394975414983
"1984",1984,6.01860711309645
"1985",1985,5.09489705827501
"1986",1986,5.01363057118875
"1987",1987,5.76139578995881
"1988",1988,5.50594018565284
"1989",1989,4.97147248850928
"1990",1990,5.12607057447787
"1991",1991,4.83461773395538
"1992",1992,5.10172309698882
"1993",1993,5.33938712543911
"1994",1994,5.58143651926959
"1995",1995,4.82353668301194
"1996",1996,5.36021071451682
"1997",1997,5.3047167857488
"1998",1998,5.63936170825252
"1999",1999,4.70309058825175
"2000",2000,4.9866189426846
"2001",2001,5.65498459780658
"2002",2002,5.04564718846922
"2003",2003,5.99097855885824
"2004",2004,5.30688555593844
"2005",2005,5.93176647027334
"2006",2006,5.07080037947054
"2007",2007,4.51374037839748
"2008",2008,4.44884925859946
"2009",2009,4.43539617017463
"2010",2010,5.27648780522523
"2011",2011,5.23363306345763
"2012",2012,4.39952825616907
"2013",2013,5.01597912664767
"2014",2014,5.94912817743089
"2015",2015,6.56944525683368
"2016",2016,6.8636093934377
"2017",2017,5.74219963727174
"2018",2018,5.77107444074419
"2019",2019,6.68350199416832
"2020",2020,5.79139979238863
"2021",2021,5.52702861362033
"2022",2022,5.23673781642207
