"YEAR","shannon"
1987,1.77210181829888
1988,1.89778381556229
1989,2.02209668354416
1990,1.46340983700663
1991,1.77020655218616
1992,1.9233462813282
1996,2.22002532783454
1998,1.79348517041348
1999,1.95679100670031
2000,1.96980176564218
2001,2.13147470548228
2002,2.07367159086227
2003,1.75176289310914
2004,1.67577700895889
2005,1.54606833431458
2006,1.8731629969082
2007,1.99768003303069
2008,1.97363741890954
2009,2.13833068463771
2010,1.73179123917723
2011,1.90761873993447
2012,1.74547085580948
2013,2.05280703786302
2014,2.08496886524012
2015,1.87796736071158
2016,0.726395071729398
2017,0.436602422742345
2018,0.979990420118626
2019,1.32792061012198
2020,1.53619149209947
2021,1.43358029948327
