year,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10
1970,1263,315,195,134,96,71,53,39,30,88
1971,3160,315,158,120,91,66,51,37,28,87
1972,3629,787,158,97,81,62,47,36,27,85
1973,10594,904,394,95,60,48,38,29,22,77
1974,2178,2638,452,236,56,33,27,22,17,66
1975,2203,542,1318,268,132,29,17,14,12,54
1976,8688,549,271,794,162,76,17,10,9,44
1977,11780,2163,274,162,456,87,42,9,6,35
1978,14459,2933,1081,163,90,231,45,22,5,27
1979,25669,3600,1465,641,91,47,123,24,12,21
1980,13044,6392,1800,876,374,51,27,70,14,21
1981,7248,3248,3200,1092,542,221,31,16,43,24
1982,7168,1805,1626,1947,693,335,141,19,10,45
1983,4806,1785,903,985,1240,438,219,92,13,40
1984,5771,1196,891,540,610,762,279,139,59,37
1985,14056,1436,596,525,321,356,459,168,85,63
1986,4005,3498,716,353,310,179,202,260,96,94
1987,1664,997,1750,436,231,203,121,137,178,136
1988,4588,414,499,1071,290,154,140,84,96,226
1989,10810,1143,207,306,715,195,108,98,59,234
1990,8208,2692,572,127,203,474,133,73,67,212
1991,3204,2044,1349,352,85,134,319,89,50,200
1992,2340,798,1024,829,234,55,87,205,58,176
1993,1681,583,400,629,552,151,35,55,133,164
1994,1680,419,292,245,416,352,97,23,36,205
1995,6546,418,210,179,162,267,229,62,15,170
1996,3109,1630,210,129,120,108,181,154,43,134
1997,1399,774,817,129,87,81,74,124,106,127
1998,1287,348,388,500,84,54,50,46,78,159
1999,1595,320,174,234,308,47,30,27,25,152
2000,6048,397,160,105,146,177,27,17,16,119
2001,6638,1506,198,97,67,89,109,16,10,93
2002,916,1652,750,119,60,40,54,66,10,72
2003,697,228,822,447,74,37,26,35,43,58
2004,637,173,113,490,285,48,25,17,24,72
2005,1616,158,86,66,307,181,32,17,12,68
2006,5391,401,78,50,40,187,114,20,11,56
2007,5240,1340,198,45,30,24,118,72,13,47
2008,6289,1303,664,116,28,19,16,78,48,42
2009,2757,1565,649,394,73,18,13,11,53,64
2010,1032,686,781,390,257,49,13,9,8,85
2011,4418,257,342,465,249,167,33,9,6,67
2012,677,1100,128,205,295,161,112,22,6,52
2013,40574,169,550,77,128,186,105,73,15,42
2014,2187,10104,84,333,49,81,121,68,48,40
2015,38,545,5058,51,199,27,46,69,40,57
2016,5,10,272,3040,30,107,15,26,39,62
2017,1706,1,5,165,1877,18,67,9,16,69
2018,7051,425,1,3,101,1132,11,42,6,59
2019,5221,1755,212,0,2,59,691,7,26,45
2020,156,1299,874,123,0,1,36,414,4,48
2021,10760,39,650,498,71,0,1,21,252,36
