"year","apr.jul.wSST","annual.wSST"
1980,6.88489074177212,6.76690620404703
1981,8.44178063339657,7.69099177033813
1982,6.01109508011076,6.47402824075134
1983,8.22073045041826,7.70773662461175
1984,8.24014086855782,7.98686304357317
1985,6.43754801485274,6.81046642197503
1986,6.5978628926807,7.12387111672649
1987,7.35269441869524,7.50348723376239
1988,7.43562734789318,7.31469221247567
1989,7.25681945350435,7.18869653675291
1990,7.46777334478166,7.10417740212546
1991,6.99398626883825,6.93649252476516
1992,7.07728277312385,6.939603138853
1993,7.84492492675781,7.54427610944819
1994,7.44810077879164,7.17114786307017
1995,6.93110034863154,6.85464304244077
1996,7.58971921602885,7.16670530151438
1997,8.21398778094186,7.85232890756042
1998,7.6821721262402,7.5643368517911
1999,6.27431305911806,6.56518834608573
2000,7.28116196393967,6.92639140288035
2001,7.61736906899346,7.35805708390695
2002,7.47645761569341,7.44142158826192
2003,7.90338807635837,7.91685509681702
2004,7.96828009022607,7.54590687266103
2005,8.73177539640003,7.92572859702287
2006,7.32463441292445,6.93064425830488
2007,6.82809330357446,6.73497962399765
2008,6.60380143589444,6.57075399160385
2009,6.92448482248518,6.69724112197205
2010,7.01469024684694,7.05468544474355
2011,7.29279812177022,6.94535945742219
2012,6.43340523375405,6.37329269780053
2013,7.20299194918738,7.22186006219299
2014,8.54681348800659,8.25698101520538
2015,8.58321302466922,8.2043199495033
2016,9.25602316856384,8.8258960865162
2017,7.95649256308873,7.6998758426419
2018,7.89450154701869,8.05866422255834
2019,9.16328240765466,8.89595681649667
2020,8.29696812232335,7.91220736282843
2021,7.57188736730152,7.22014809979333
